"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","30.01.2017 16:00 - 30.01.2017 17:00 (CET)","n/e","2795","n/e","3226","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","n/e","n/e","648"
"Greece (GR)","30.01.2017 17:00 - 30.01.2017 18:00 (CET)","n/e","2756","n/e","3488","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","643"
"Greece (GR)","30.01.2017 18:00 - 30.01.2017 19:00 (CET)","n/e","2647","n/e","3744","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","637"
"Greece (GR)","30.01.2017 19:00 - 30.01.2017 20:00 (CET)","n/e","2643","n/e","3792","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","655"
"Greece (GR)","30.01.2017 20:00 - 30.01.2017 21:00 (CET)","n/e","2607","n/e","3682","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","656"
"Greece (GR)","30.01.2017 21:00 - 30.01.2017 22:00 (CET)","n/e","2575","n/e","3246","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","658"
"Greece (GR)","30.01.2017 22:00 - 30.01.2017 23:00 (CET)","n/e","2491","n/e","2893","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","678"
"Greece (GR)","30.01.2017 23:00 - 31.01.2017 00:00 (CET)","n/e","2431","n/e","2331","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","680"
"Greece (GR)","31.01.2017 00:00 - 31.01.2017 01:00 (CET)","n/e","2452","n/e","1572","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","675"
"Greece (GR)","31.01.2017 01:00 - 31.01.2017 02:00 (CET)","n/e","2428","n/e","1639","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","656"
"Greece (GR)","31.01.2017 02:00 - 31.01.2017 03:00 (CET)","n/e","2457","n/e","1548","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","671"
"Greece (GR)","31.01.2017 03:00 - 31.01.2017 04:00 (CET)","n/e","2515","n/e","1494","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","659"
"Greece (GR)","31.01.2017 04:00 - 31.01.2017 05:00 (CET)","n/e","2535","n/e","1544","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","646"
"Greece (GR)","31.01.2017 05:00 - 31.01.2017 06:00 (CET)","n/e","2515","n/e","1835","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","636"
"Greece (GR)","31.01.2017 06:00 - 31.01.2017 07:00 (CET)","n/e","2526","n/e","2848","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","24","n/e","n/e","641"
"Greece (GR)","31.01.2017 07:00 - 31.01.2017 08:00 (CET)","n/e","2546","n/e","3405","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","196","n/e","n/e","655"
"Greece (GR)","31.01.2017 08:00 - 31.01.2017 09:00 (CET)","n/e","2586","n/e","3782","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","449","n/e","n/e","624"
"Greece (GR)","31.01.2017 09:00 - 31.01.2017 10:00 (CET)","n/e","2544","n/e","3662","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","681","n/e","n/e","596"
"Greece (GR)","31.01.2017 10:00 - 31.01.2017 11:00 (CET)","n/e","2590","n/e","3489","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","833","n/e","n/e","573"
"Greece (GR)","31.01.2017 11:00 - 31.01.2017 12:00 (CET)","n/e","2623","n/e","3554","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","903","n/e","n/e","591"
"Greece (GR)","31.01.2017 12:00 - 31.01.2017 13:00 (CET)","n/e","2584","n/e","3683","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","895","n/e","n/e","523"
"Greece (GR)","31.01.2017 13:00 - 31.01.2017 14:00 (CET)","n/e","2632","n/e","3658","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","811","n/e","n/e","463"
"Greece (GR)","31.01.2017 14:00 - 31.01.2017 15:00 (CET)","n/e","2686","n/e","3652","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","603","n/e","n/e","439"
"Greece (GR)","31.01.2017 15:00 - 31.01.2017 16:00 (CET)","n/e","2718","n/e","3716","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","325","n/e","n/e","408"
"Greece (GR)","31.01.2017 16:00 - 31.01.2017 17:00 (CET)","n/e","2690","n/e","3749","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","n/e","n/e","346"
"Greece (GR)","31.01.2017 17:00 - 31.01.2017 18:00 (CET)","n/e","2611","n/e","3882","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","310"
"Greece (GR)","31.01.2017 18:00 - 31.01.2017 19:00 (CET)","n/e","2555","n/e","3889","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","277"
"Greece (GR)","31.01.2017 19:00 - 31.01.2017 20:00 (CET)","n/e","2540","n/e","3886","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","246"
"Greece (GR)","31.01.2017 20:00 - 31.01.2017 21:00 (CET)","n/e","2504","n/e","3875","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","231"
"Greece (GR)","31.01.2017 21:00 - 31.01.2017 22:00 (CET)","n/e","2483","n/e","3635","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","215"
"Greece (GR)","31.01.2017 22:00 - 31.01.2017 23:00 (CET)","n/e","2477","n/e","3428","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","206"
"Greece (GR)","31.01.2017 23:00 - 01.02.2017 00:00 (CET)","n/e","2510","n/e","2987","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","196"
"Greece (GR)","01.02.2017 00:00 - 01.02.2017 01:00 (CET)","n/e","2474","n/e","2354","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","169"
"Greece (GR)","01.02.2017 01:00 - 01.02.2017 02:00 (CET)","n/e","2446","n/e","2060","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","142"
"Greece (GR)","01.02.2017 02:00 - 01.02.2017 03:00 (CET)","n/e","2401","n/e","2234","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","121"
"Greece (GR)","01.02.2017 03:00 - 01.02.2017 04:00 (CET)","n/e","2367","n/e","2360","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","97"
"Greece (GR)","01.02.2017 04:00 - 01.02.2017 05:00 (CET)","n/e","2368","n/e","2486","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","82"
"Greece (GR)","01.02.2017 05:00 - 01.02.2017 06:00 (CET)","n/e","2372","n/e","2616","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","76"
"Greece (GR)","01.02.2017 06:00 - 01.02.2017 07:00 (CET)","n/e","2424","n/e","3253","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","n/e","n/e","68"
"Greece (GR)","01.02.2017 07:00 - 01.02.2017 08:00 (CET)","n/e","2442","n/e","3867","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","225","n/e","n/e","62"
"Greece (GR)","01.02.2017 08:00 - 01.02.2017 09:00 (CET)","n/e","2420","n/e","3907","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","527","n/e","n/e","69"
"Greece (GR)","01.02.2017 09:00 - 01.02.2017 10:00 (CET)","n/e","2367","n/e","3876","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","842","n/e","n/e","70"
"Greece (GR)","01.02.2017 10:00 - 01.02.2017 11:00 (CET)","n/e","2433","n/e","3726","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1066","n/e","n/e","64"
"Greece (GR)","01.02.2017 11:00 - 01.02.2017 12:00 (CET)","n/e","2475","n/e","3727","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1159","n/e","n/e","78"
"Greece (GR)","01.02.2017 12:00 - 01.02.2017 13:00 (CET)","n/e","2481","n/e","3652","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1143","n/e","n/e","86"
"Greece (GR)","01.02.2017 13:00 - 01.02.2017 14:00 (CET)","n/e","2501","n/e","3620","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1015","n/e","n/e","81"
"Greece (GR)","01.02.2017 14:00 - 01.02.2017 15:00 (CET)","n/e","2527","n/e","3900","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","745","n/e","n/e","78"
"Greece (GR)","01.02.2017 15:00 - 01.02.2017 16:00 (CET)","n/e","2564","n/e","4015","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","399","n/e","n/e","73"
"Greece (GR)","01.02.2017 16:00 - 01.02.2017 17:00 (CET)","n/e","2637","n/e","4027","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","n/e","n/e","92"
"Greece (GR)","01.02.2017 17:00 - 01.02.2017 18:00 (CET)","n/e","2598","n/e","4122","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","95"
"Greece (GR)","01.02.2017 18:00 - 01.02.2017 19:00 (CET)","n/e","2562","n/e","4090","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","99"
"Greece (GR)","01.02.2017 19:00 - 01.02.2017 20:00 (CET)","n/e","2568","n/e","4077","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","121"
"Greece (GR)","01.02.2017 20:00 - 01.02.2017 21:00 (CET)","n/e","2622","n/e","4043","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","141"
"Greece (GR)","01.02.2017 21:00 - 01.02.2017 22:00 (CET)","n/e","2671","n/e","3859","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","132"
"Greece (GR)","01.02.2017 22:00 - 01.02.2017 23:00 (CET)","n/e","2682","n/e","3675","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","114"
"Greece (GR)","01.02.2017 23:00 - 02.02.2017 00:00 (CET)","n/e","2709","n/e","3096","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","118"
"Greece (GR)","02.02.2017 00:00 - 02.02.2017 01:00 (CET)","n/e","2697","n/e","2341","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","130"
"Greece (GR)","02.02.2017 01:00 - 02.02.2017 02:00 (CET)","n/e","2707","n/e","2321","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","131"
"Greece (GR)","02.02.2017 02:00 - 02.02.2017 03:00 (CET)","n/e","2718","n/e","2096","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","113"
"Greece (GR)","02.02.2017 03:00 - 02.02.2017 04:00 (CET)","n/e","2735","n/e","1936","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","121"
"Greece (GR)","02.02.2017 04:00 - 02.02.2017 05:00 (CET)","n/e","2756","n/e","1958","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","137"
"Greece (GR)","02.02.2017 05:00 - 02.02.2017 06:00 (CET)","n/e","2770","n/e","2268","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","154"
"Greece (GR)","02.02.2017 06:00 - 02.02.2017 07:00 (CET)","n/e","2753","n/e","3276","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","n/e","n/e","179"
"Greece (GR)","02.02.2017 07:00 - 02.02.2017 08:00 (CET)","n/e","2638","n/e","3730","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","n/e","n/e","170"
"Greece (GR)","02.02.2017 08:00 - 02.02.2017 09:00 (CET)","n/e","2633","n/e","3854","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","603","n/e","n/e","180"
"Greece (GR)","02.02.2017 09:00 - 02.02.2017 10:00 (CET)","n/e","2543","n/e","3693","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","923","n/e","n/e","239"
"Greece (GR)","02.02.2017 10:00 - 02.02.2017 11:00 (CET)","n/e","2417","n/e","3505","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1117","n/e","n/e","275"
"Greece (GR)","02.02.2017 11:00 - 02.02.2017 12:00 (CET)","n/e","2390","n/e","3475","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1147","n/e","n/e","280"
"Greece (GR)","02.02.2017 12:00 - 02.02.2017 13:00 (CET)","n/e","2493","n/e","3327","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1061","n/e","n/e","288"
"Greece (GR)","02.02.2017 13:00 - 02.02.2017 14:00 (CET)","n/e","2589","n/e","3064","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","890","n/e","n/e","297"
"Greece (GR)","02.02.2017 14:00 - 02.02.2017 15:00 (CET)","n/e","2528","n/e","3341","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","607","n/e","n/e","284"
"Greece (GR)","02.02.2017 15:00 - 02.02.2017 16:00 (CET)","n/e","2492","n/e","3545","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","293","n/e","n/e","288"
"Greece (GR)","02.02.2017 16:00 - 02.02.2017 17:00 (CET)","n/e","2500","n/e","3699","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","40","n/e","n/e","348"
"Greece (GR)","02.02.2017 17:00 - 02.02.2017 18:00 (CET)","n/e","2482","n/e","3950","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","405"
"Greece (GR)","02.02.2017 18:00 - 02.02.2017 19:00 (CET)","n/e","2488","n/e","3844","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","444"
"Greece (GR)","02.02.2017 19:00 - 02.02.2017 20:00 (CET)","n/e","2542","n/e","3832","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","444"
"Greece (GR)","02.02.2017 20:00 - 02.02.2017 21:00 (CET)","n/e","2513","n/e","3679","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","423"
"Greece (GR)","02.02.2017 21:00 - 02.02.2017 22:00 (CET)","n/e","2509","n/e","3348","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","454"
"Greece (GR)","02.02.2017 22:00 - 02.02.2017 23:00 (CET)","n/e","2479","n/e","3151","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","466"
"Greece (GR)","02.02.2017 23:00 - 03.02.2017 00:00 (CET)","n/e","2476","n/e","2515","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","510"
"Greece (GR)","03.02.2017 00:00 - 03.02.2017 01:00 (CET)","n/e","2457","n/e","1801","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","524"
"Greece (GR)","03.02.2017 01:00 - 03.02.2017 02:00 (CET)","n/e","2385","n/e","1440","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","602"
"Greece (GR)","03.02.2017 02:00 - 03.02.2017 03:00 (CET)","n/e","2361","n/e","1496","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","622"
"Greece (GR)","03.02.2017 03:00 - 03.02.2017 04:00 (CET)","n/e","2373","n/e","1371","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","609"
"Greece (GR)","03.02.2017 04:00 - 03.02.2017 05:00 (CET)","n/e","2369","n/e","1413","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","616"
"Greece (GR)","03.02.2017 05:00 - 03.02.2017 06:00 (CET)","n/e","2412","n/e","1740","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","588"
"Greece (GR)","03.02.2017 06:00 - 03.02.2017 07:00 (CET)","n/e","2397","n/e","2711","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","n/e","n/e","544"
"Greece (GR)","03.02.2017 07:00 - 03.02.2017 08:00 (CET)","n/e","2364","n/e","3069","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","228","n/e","n/e","512"
"Greece (GR)","03.02.2017 08:00 - 03.02.2017 09:00 (CET)","n/e","2319","n/e","3136","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","540","n/e","n/e","499"
"Greece (GR)","03.02.2017 09:00 - 03.02.2017 10:00 (CET)","n/e","2394","n/e","2887","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","856","n/e","n/e","533"
"Greece (GR)","03.02.2017 10:00 - 03.02.2017 11:00 (CET)","n/e","2381","n/e","2557","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1063","n/e","n/e","580"
"Greece (GR)","03.02.2017 11:00 - 03.02.2017 12:00 (CET)","n/e","2381","n/e","2628","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1120","n/e","n/e","609"
"Greece (GR)","03.02.2017 12:00 - 03.02.2017 13:00 (CET)","n/e","2425","n/e","2486","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1051","n/e","n/e","623"
"Greece (GR)","03.02.2017 13:00 - 03.02.2017 14:00 (CET)","n/e","2430","n/e","2571","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","n/e","n/e","576"
"Greece (GR)","03.02.2017 14:00 - 03.02.2017 15:00 (CET)","n/e","2434","n/e","2987","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","633","n/e","n/e","506"
"Greece (GR)","03.02.2017 15:00 - 03.02.2017 16:00 (CET)","n/e","2498","n/e","3092","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","335","n/e","n/e","515"
"Greece (GR)","03.02.2017 16:00 - 03.02.2017 17:00 (CET)","n/e","2596","n/e","3036","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","n/e","n/e","539"
"Greece (GR)","03.02.2017 17:00 - 03.02.2017 18:00 (CET)","n/e","2611","n/e","3259","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","588"
"Greece (GR)","03.02.2017 18:00 - 03.02.2017 19:00 (CET)","n/e","2678","n/e","3228","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","594"
"Greece (GR)","03.02.2017 19:00 - 03.02.2017 20:00 (CET)","n/e","2781","n/e","3213","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","643"
"Greece (GR)","03.02.2017 20:00 - 03.02.2017 21:00 (CET)","n/e","2880","n/e","2965","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","661"
"Greece (GR)","03.02.2017 21:00 - 03.02.2017 22:00 (CET)","n/e","2906","n/e","2444","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","704"
"Greece (GR)","03.02.2017 22:00 - 03.02.2017 23:00 (CET)","n/e","2913","n/e","2313","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","742"
"Greece (GR)","03.02.2017 23:00 - 04.02.2017 00:00 (CET)","n/e","2631","n/e","1661","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","709"
"Greece (GR)","04.02.2017 00:00 - 04.02.2017 01:00 (CET)","n/e","2284","n/e","1544","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","689"
"Greece (GR)","04.02.2017 01:00 - 04.02.2017 02:00 (CET)","n/e","2277","n/e","1485","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","642"
"Greece (GR)","04.02.2017 02:00 - 04.02.2017 03:00 (CET)","n/e","2224","n/e","1430","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","627"
"Greece (GR)","04.02.2017 03:00 - 04.02.2017 04:00 (CET)","n/e","2056","n/e","1449","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","628"
"Greece (GR)","04.02.2017 04:00 - 04.02.2017 05:00 (CET)","n/e","2060","n/e","1453","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","628"
"Greece (GR)","04.02.2017 05:00 - 04.02.2017 06:00 (CET)","n/e","2141","n/e","1518","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","671"
"Greece (GR)","04.02.2017 06:00 - 04.02.2017 07:00 (CET)","n/e","2624","n/e","1522","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","n/e","n/e","696"
"Greece (GR)","04.02.2017 07:00 - 04.02.2017 08:00 (CET)","n/e","2783","n/e","1606","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","259","n/e","n/e","676"
"Greece (GR)","04.02.2017 08:00 - 04.02.2017 09:00 (CET)","n/e","2781","n/e","1968","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","584","n/e","n/e","674"
"Greece (GR)","04.02.2017 09:00 - 04.02.2017 10:00 (CET)","n/e","2808","n/e","1750","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","899","n/e","n/e","722"
"Greece (GR)","04.02.2017 10:00 - 04.02.2017 11:00 (CET)","n/e","2807","n/e","1728","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1119","n/e","n/e","740"
"Greece (GR)","04.02.2017 11:00 - 04.02.2017 12:00 (CET)","n/e","2644","n/e","1763","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1211","n/e","n/e","801"
"Greece (GR)","04.02.2017 12:00 - 04.02.2017 13:00 (CET)","n/e","2720","n/e","1650","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1180","n/e","n/e","900"
