"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","n/e","2467","n/e","2164","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","162"
"Greece (GR)","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","n/e","2360","n/e","1534","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","212"
"Greece (GR)","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","n/e","2134","n/e","1674","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","235"
"Greece (GR)","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","n/e","2041","n/e","1576","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","252"
"Greece (GR)","02.01.2017 03:00 - 02.01.2017 04:00 (CET)","n/e","1949","n/e","1441","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","285"
"Greece (GR)","02.01.2017 04:00 - 02.01.2017 05:00 (CET)","n/e","1879","n/e","1534","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","299"
"Greece (GR)","02.01.2017 05:00 - 02.01.2017 06:00 (CET)","n/e","1992","n/e","1839","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","268"
"Greece (GR)","02.01.2017 06:00 - 02.01.2017 07:00 (CET)","n/e","2134","n/e","1983","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9","n/e","n/e","223"
"Greece (GR)","02.01.2017 07:00 - 02.01.2017 08:00 (CET)","n/e","2151","n/e","2272","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","253","n/e","n/e","225"
"Greece (GR)","02.01.2017 08:00 - 02.01.2017 09:00 (CET)","n/e","2197","n/e","2349","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","652","n/e","n/e","215"
"Greece (GR)","02.01.2017 09:00 - 02.01.2017 10:00 (CET)","n/e","2156","n/e","2429","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1043","n/e","n/e","197"
"Greece (GR)","02.01.2017 10:00 - 02.01.2017 11:00 (CET)","n/e","2125","n/e","2318","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1280","n/e","n/e","228"
"Greece (GR)","02.01.2017 11:00 - 02.01.2017 12:00 (CET)","n/e","2156","n/e","2284","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1350","n/e","n/e","304"
"Greece (GR)","02.01.2017 12:00 - 02.01.2017 13:00 (CET)","n/e","1981","n/e","2380","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1285","n/e","n/e","371"
"Greece (GR)","02.01.2017 13:00 - 02.01.2017 14:00 (CET)","n/e","1932","n/e","2418","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1070","n/e","n/e","441"
"Greece (GR)","02.01.2017 14:00 - 02.01.2017 15:00 (CET)","n/e","2008","n/e","2655","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","688","n/e","n/e","473"
"Greece (GR)","02.01.2017 15:00 - 02.01.2017 16:00 (CET)","n/e","2013","n/e","2723","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","264","n/e","n/e","478"
"Greece (GR)","02.01.2017 16:00 - 02.01.2017 17:00 (CET)","n/e","2030","n/e","2786","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","n/e","n/e","482"
"Greece (GR)","02.01.2017 17:00 - 02.01.2017 18:00 (CET)","n/e","2024","n/e","2865","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","498"
"Greece (GR)","02.01.2017 18:00 - 02.01.2017 19:00 (CET)","n/e","1913","n/e","2871","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","496"
"Greece (GR)","02.01.2017 19:00 - 02.01.2017 20:00 (CET)","n/e","2028","n/e","2838","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","546"
"Greece (GR)","02.01.2017 20:00 - 02.01.2017 21:00 (CET)","n/e","2159","n/e","2718","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","573"
"Greece (GR)","02.01.2017 21:00 - 02.01.2017 22:00 (CET)","n/e","2243","n/e","2668","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","560"
"Greece (GR)","02.01.2017 22:00 - 02.01.2017 23:00 (CET)","n/e","2301","n/e","2509","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","554"
"Greece (GR)","02.01.2017 23:00 - 03.01.2017 00:00 (CET)","n/e","2367","n/e","1746","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","547"
"Greece (GR)","03.01.2017 00:00 - 03.01.2017 01:00 (CET)","n/e","2358","n/e","1349","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","540"
"Greece (GR)","03.01.2017 01:00 - 03.01.2017 02:00 (CET)","n/e","2307","n/e","1338","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","531"
"Greece (GR)","03.01.2017 02:00 - 03.01.2017 03:00 (CET)","n/e","2285","n/e","1042","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","521"
"Greece (GR)","03.01.2017 03:00 - 03.01.2017 04:00 (CET)","n/e","2228","n/e","1036","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","477"
"Greece (GR)","03.01.2017 04:00 - 03.01.2017 05:00 (CET)","n/e","2239","n/e","1093","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","458"
"Greece (GR)","03.01.2017 05:00 - 03.01.2017 06:00 (CET)","n/e","2414","n/e","1504","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","410"
"Greece (GR)","03.01.2017 06:00 - 03.01.2017 07:00 (CET)","n/e","2537","n/e","1957","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","n/e","n/e","348"
"Greece (GR)","03.01.2017 07:00 - 03.01.2017 08:00 (CET)","n/e","2580","n/e","2423","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","265","n/e","n/e","304"
"Greece (GR)","03.01.2017 08:00 - 03.01.2017 09:00 (CET)","n/e","2639","n/e","2699","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","671","n/e","n/e","244"
"Greece (GR)","03.01.2017 09:00 - 03.01.2017 10:00 (CET)","n/e","2633","n/e","2799","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1057","n/e","n/e","223"
"Greece (GR)","03.01.2017 10:00 - 03.01.2017 11:00 (CET)","n/e","2681","n/e","2854","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1286","n/e","n/e","263"
"Greece (GR)","03.01.2017 11:00 - 03.01.2017 12:00 (CET)","n/e","2700","n/e","2863","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1345","n/e","n/e","347"
"Greece (GR)","03.01.2017 12:00 - 03.01.2017 13:00 (CET)","n/e","2715","n/e","2844","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1257","n/e","n/e","436"
"Greece (GR)","03.01.2017 13:00 - 03.01.2017 14:00 (CET)","n/e","2736","n/e","2852","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1018","n/e","n/e","446"
"Greece (GR)","03.01.2017 14:00 - 03.01.2017 15:00 (CET)","n/e","2605","n/e","2866","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","634","n/e","n/e","415"
"Greece (GR)","03.01.2017 15:00 - 03.01.2017 16:00 (CET)","n/e","2493","n/e","2811","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","238","n/e","n/e","367"
