"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GR","17.04.2020 15:00 - 17.04.2020 16:00 (CET)","n/e","554","n/e","1169","n/e","0","n/e","n/e","n/e","0","","n/e","54","n/e","n/e","n/e","n/e","1316","n/e","n/e","151"
"BZN|GR","17.04.2020 16:00 - 17.04.2020 17:00 (CET)","n/e","455","n/e","1453","n/e","0","n/e","n/e","n/e","2","","n/e","54","n/e","n/e","n/e","n/e","927","n/e","n/e","156"
"BZN|GR","17.04.2020 17:00 - 17.04.2020 18:00 (CET)","n/e","455","n/e","1838","n/e","0","n/e","n/e","n/e","176","","n/e","54","n/e","n/e","n/e","n/e","460","n/e","n/e","164"
"BZN|GR","17.04.2020 18:00 - 17.04.2020 19:00 (CET)","n/e","466","n/e","2165","n/e","0","n/e","n/e","n/e","279","","n/e","225","n/e","n/e","n/e","n/e","89","n/e","n/e","163"
"BZN|GR","17.04.2020 19:00 - 17.04.2020 20:00 (CET)","n/e","495","n/e","2447","n/e","0","n/e","n/e","n/e","487","","n/e","1355","n/e","n/e","n/e","n/e","0","n/e","n/e","171"
"BZN|GR","17.04.2020 20:00 - 17.04.2020 21:00 (CET)","n/e","557","n/e","2345","n/e","0","n/e","n/e","n/e","579","","n/e","1598","n/e","n/e","n/e","n/e","0","n/e","n/e","191"
"BZN|GR","17.04.2020 21:00 - 17.04.2020 22:00 (CET)","n/e","474","n/e","2238","n/e","0","n/e","n/e","n/e","240","","n/e","877","n/e","n/e","n/e","n/e","0","n/e","n/e","199"
"BZN|GR","17.04.2020 22:00 - 17.04.2020 23:00 (CET)","n/e","455","n/e","2258","n/e","0","n/e","n/e","n/e","130","","n/e","378","n/e","n/e","n/e","n/e","0","n/e","n/e","178"
"BZN|GR","17.04.2020 23:00 - 18.04.2020 00:00 (CET)","n/e","462","n/e","2013","n/e","0","n/e","n/e","n/e","82","","n/e","291","n/e","n/e","n/e","n/e","0","n/e","n/e","145"
"BZN|GR","18.04.2020 00:00 - 18.04.2020 01:00 (CET)","n/e","451","n/e","1963","n/e","0","n/e","n/e","n/e","60","","n/e","202","n/e","n/e","n/e","n/e","0","n/e","n/e","115"
"BZN|GR","18.04.2020 01:00 - 18.04.2020 02:00 (CET)","n/e","449","n/e","1911","n/e","0","n/e","n/e","n/e","60","","n/e","123","n/e","n/e","n/e","n/e","0","n/e","n/e","89"
"BZN|GR","18.04.2020 02:00 - 18.04.2020 03:00 (CET)","n/e","444","n/e","1721","n/e","0","n/e","n/e","n/e","60","","n/e","114","n/e","n/e","n/e","n/e","0","n/e","n/e","66"
"BZN|GR","18.04.2020 03:00 - 18.04.2020 04:00 (CET)","n/e","444","n/e","1642","n/e","0","n/e","n/e","n/e","60","","n/e","85","n/e","n/e","n/e","n/e","0","n/e","n/e","69"
"BZN|GR","18.04.2020 04:00 - 18.04.2020 05:00 (CET)","n/e","445","n/e","1702","n/e","0","n/e","n/e","n/e","60","","n/e","114","n/e","n/e","n/e","n/e","0","n/e","n/e","79"
"BZN|GR","18.04.2020 05:00 - 18.04.2020 06:00 (CET)","n/e","484","n/e","1740","n/e","0","n/e","n/e","n/e","60","","n/e","115","n/e","n/e","n/e","n/e","1","n/e","n/e","95"
"BZN|GR","18.04.2020 06:00 - 18.04.2020 07:00 (CET)","n/e","584","n/e","1661","n/e","0","n/e","n/e","n/e","60","","n/e","124","n/e","n/e","n/e","n/e","109","n/e","n/e","110"
"BZN|GR","18.04.2020 07:00 - 18.04.2020 08:00 (CET)","n/e","573","n/e","1629","n/e","0","n/e","n/e","n/e","62","","n/e","207","n/e","n/e","n/e","n/e","559","n/e","n/e","115"
"BZN|GR","18.04.2020 08:00 - 18.04.2020 09:00 (CET)","n/e","472","n/e","1500","n/e","0","n/e","n/e","n/e","62","","n/e","177","n/e","n/e","n/e","n/e","1108","n/e","n/e","111"
"BZN|GR","18.04.2020 09:00 - 18.04.2020 10:00 (CET)","n/e","462","n/e","1641","n/e","0","n/e","n/e","n/e","13","","n/e","114","n/e","n/e","n/e","n/e","1540","n/e","n/e","87"
"BZN|GR","18.04.2020 10:00 - 18.04.2020 11:00 (CET)","n/e","492","n/e","1462","n/e","0","n/e","n/e","n/e","0","","n/e","111","n/e","n/e","n/e","n/e","1834","n/e","n/e","63"
"BZN|GR","18.04.2020 11:00 - 18.04.2020 12:00 (CET)","n/e","566","n/e","1434","n/e","0","n/e","n/e","n/e","0","","n/e","117","n/e","n/e","n/e","n/e","1989","n/e","n/e","56"
"BZN|GR","18.04.2020 12:00 - 18.04.2020 13:00 (CET)","n/e","634","n/e","1391","n/e","0","n/e","n/e","n/e","0","","n/e","98","n/e","n/e","n/e","n/e","2036","n/e","n/e","65"
"BZN|GR","18.04.2020 13:00 - 18.04.2020 14:00 (CET)","n/e","643","n/e","1190","n/e","0","n/e","n/e","n/e","0","","n/e","68","n/e","n/e","n/e","n/e","1975","n/e","n/e","63"
"BZN|GR","18.04.2020 14:00 - 18.04.2020 15:00 (CET)","n/e","635","n/e","1188","n/e","0","n/e","n/e","n/e","0","","n/e","52","n/e","n/e","n/e","n/e","1793","n/e","n/e","80"
"BZN|GR","18.04.2020 15:00 - 18.04.2020 16:00 (CET)","n/e","630","n/e","1216","n/e","0","n/e","n/e","n/e","0","","n/e","52","n/e","n/e","n/e","n/e","1483","n/e","n/e","86"
"BZN|GR","18.04.2020 16:00 - 18.04.2020 17:00 (CET)","n/e","497","n/e","1701","n/e","0","n/e","n/e","n/e","0","","n/e","68","n/e","n/e","n/e","n/e","1035","n/e","n/e","68"
"BZN|GR","18.04.2020 17:00 - 18.04.2020 18:00 (CET)","n/e","459","n/e","2322","n/e","0","n/e","n/e","n/e","0","","n/e","261","n/e","n/e","n/e","n/e","482","n/e","n/e","47"
"BZN|GR","18.04.2020 18:00 - 18.04.2020 19:00 (CET)","n/e","545","n/e","2547","n/e","0","n/e","n/e","n/e","144","","n/e","561","n/e","n/e","n/e","n/e","84","n/e","n/e","39"
"BZN|GR","18.04.2020 19:00 - 18.04.2020 20:00 (CET)","n/e","649","n/e","2675","n/e","0","n/e","n/e","n/e","342","","n/e","917","n/e","n/e","n/e","n/e","0","n/e","n/e","61"
"BZN|GR","18.04.2020 20:00 - 18.04.2020 21:00 (CET)","n/e","607","n/e","2841","n/e","0","n/e","n/e","n/e","310","","n/e","957","n/e","n/e","n/e","n/e","0","n/e","n/e","59"
"BZN|GR","18.04.2020 21:00 - 18.04.2020 22:00 (CET)","n/e","474","n/e","2849","n/e","0","n/e","n/e","n/e","164","","n/e","743","n/e","n/e","n/e","n/e","0","n/e","n/e","63"
"BZN|GR","18.04.2020 22:00 - 18.04.2020 23:00 (CET)","n/e","454","n/e","2686","n/e","0","n/e","n/e","n/e","110","","n/e","270","n/e","n/e","n/e","n/e","0","n/e","n/e","92"
"BZN|GR","18.04.2020 23:00 - 19.04.2020 00:00 (CET)","n/e","455","n/e","2210","n/e","0","n/e","n/e","n/e","64","","n/e","235","n/e","n/e","n/e","n/e","0","n/e","n/e","129"
"BZN|GR","19.04.2020 00:00 - 19.04.2020 01:00 (CET)","n/e","453","n/e","1798","n/e","0","n/e","n/e","n/e","62","","n/e","261","n/e","n/e","n/e","n/e","0","n/e","n/e","141"
"BZN|GR","19.04.2020 01:00 - 19.04.2020 02:00 (CET)","n/e","454","n/e","1607","n/e","0","n/e","n/e","n/e","66","","n/e","125","n/e","n/e","n/e","n/e","0","n/e","n/e","162"
"BZN|GR","19.04.2020 02:00 - 19.04.2020 03:00 (CET)","n/e","457","n/e","1335","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","163"
"BZN|GR","19.04.2020 03:00 - 19.04.2020 04:00 (CET)","n/e","459","n/e","1314","n/e","0","n/e","n/e","n/e","63","","n/e","85","n/e","n/e","n/e","n/e","0","n/e","n/e","126"
"BZN|GR","19.04.2020 04:00 - 19.04.2020 05:00 (CET)","n/e","455","n/e","1459","n/e","0","n/e","n/e","n/e","64","","n/e","114","n/e","n/e","n/e","n/e","0","n/e","n/e","94"
"BZN|GR","19.04.2020 05:00 - 19.04.2020 06:00 (CET)","n/e","479","n/e","1416","n/e","0","n/e","n/e","n/e","62","","n/e","114","n/e","n/e","n/e","n/e","1","n/e","n/e","51"
"BZN|GR","19.04.2020 06:00 - 19.04.2020 07:00 (CET)","n/e","465","n/e","1380","n/e","0","n/e","n/e","n/e","63","","n/e","98","n/e","n/e","n/e","n/e","109","n/e","n/e","76"
"BZN|GR","19.04.2020 07:00 - 19.04.2020 08:00 (CET)","n/e","469","n/e","1453","n/e","0","n/e","n/e","n/e","77","","n/e","116","n/e","n/e","n/e","n/e","463","n/e","n/e","118"
"BZN|GR","19.04.2020 08:00 - 19.04.2020 09:00 (CET)","n/e","459","n/e","1422","n/e","0","n/e","n/e","n/e","108","","n/e","132","n/e","n/e","n/e","n/e","912","n/e","n/e","107"
"BZN|GR","19.04.2020 09:00 - 19.04.2020 10:00 (CET)","n/e","541","n/e","1299","n/e","0","n/e","n/e","n/e","175","","n/e","364","n/e","n/e","n/e","n/e","1322","n/e","n/e","89"
"BZN|GR","19.04.2020 10:00 - 19.04.2020 11:00 (CET)","n/e","629","n/e","1273","n/e","0","n/e","n/e","n/e","67","","n/e","312","n/e","n/e","n/e","n/e","1595","n/e","n/e","135"
"BZN|GR","19.04.2020 11:00 - 19.04.2020 12:00 (CET)","n/e","634","n/e","1137","n/e","0","n/e","n/e","n/e","42","","n/e","280","n/e","n/e","n/e","n/e","1782","n/e","n/e","176"
"BZN|GR","19.04.2020 12:00 - 19.04.2020 13:00 (CET)","n/e","569","n/e","986","n/e","0","n/e","n/e","n/e","30","","n/e","189","n/e","n/e","n/e","n/e","1841","n/e","n/e","230"
"BZN|GR","19.04.2020 13:00 - 19.04.2020 14:00 (CET)","n/e","467","n/e","878","n/e","0","n/e","n/e","n/e","30","","n/e","84","n/e","n/e","n/e","n/e","1691","n/e","n/e","274"
"BZN|GR","19.04.2020 14:00 - 19.04.2020 15:00 (CET)","n/e","461","n/e","918","n/e","0","n/e","n/e","n/e","1","","n/e","60","n/e","n/e","n/e","n/e","1449","n/e","n/e","317"
"BZN|GR","19.04.2020 15:00 - 19.04.2020 16:00 (CET)","n/e","456","n/e","852","n/e","0","n/e","n/e","n/e","0","","n/e","55","n/e","n/e","n/e","n/e","1199","n/e","n/e","354"
"BZN|GR","19.04.2020 16:00 - 19.04.2020 17:00 (CET)","n/e","453","n/e","925","n/e","0","n/e","n/e","n/e","0","","n/e","63","n/e","n/e","n/e","n/e","845","n/e","n/e","402"
"BZN|GR","19.04.2020 17:00 - 19.04.2020 18:00 (CET)","n/e","455","n/e","1228","n/e","0","n/e","n/e","n/e","0","","n/e","102","n/e","n/e","n/e","n/e","402","n/e","n/e","427"
"BZN|GR","19.04.2020 18:00 - 19.04.2020 19:00 (CET)","n/e","465","n/e","1397","n/e","0","n/e","n/e","n/e","53","","n/e","123","n/e","n/e","n/e","n/e","89","n/e","n/e","486"
"BZN|GR","19.04.2020 19:00 - 19.04.2020 20:00 (CET)","n/e","452","n/e","1744","n/e","0","n/e","n/e","n/e","69","","n/e","419","n/e","n/e","n/e","n/e","0","n/e","n/e","573"
"BZN|GR","19.04.2020 20:00 - 19.04.2020 21:00 (CET)","n/e","452","n/e","1777","n/e","0","n/e","n/e","n/e","137","","n/e","776","n/e","n/e","n/e","n/e","0","n/e","n/e","626"
"BZN|GR","19.04.2020 21:00 - 19.04.2020 22:00 (CET)","n/e","452","n/e","1525","n/e","0","n/e","n/e","n/e","121","","n/e","508","n/e","n/e","n/e","n/e","0","n/e","n/e","649"
"BZN|GR","19.04.2020 22:00 - 19.04.2020 23:00 (CET)","n/e","453","n/e","1327","n/e","0","n/e","n/e","n/e","70","","n/e","158","n/e","n/e","n/e","n/e","0","n/e","n/e","669"
"BZN|GR","19.04.2020 23:00 - 20.04.2020 00:00 (CET)","n/e","453","n/e","1225","n/e","0","n/e","n/e","n/e","9","","n/e","107","n/e","n/e","n/e","n/e","0","n/e","n/e","648"
"BZN|GR","20.04.2020 00:00 - 20.04.2020 01:00 (CET)","n/e","450","n/e","1180","n/e","0","n/e","n/e","n/e","59","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","536"
"BZN|GR","20.04.2020 01:00 - 20.04.2020 02:00 (CET)","n/e","450","n/e","1206","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","450"
"BZN|GR","20.04.2020 02:00 - 20.04.2020 03:00 (CET)","n/e","455","n/e","949","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","396"
"BZN|GR","20.04.2020 03:00 - 20.04.2020 04:00 (CET)","n/e","452","n/e","1102","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","318"
"BZN|GR","20.04.2020 04:00 - 20.04.2020 05:00 (CET)","n/e","455","n/e","1165","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","0","n/e","n/e","237"
"BZN|GR","20.04.2020 05:00 - 20.04.2020 06:00 (CET)","n/e","454","n/e","1272","n/e","0","n/e","n/e","n/e","62","","n/e","115","n/e","n/e","n/e","n/e","1","n/e","n/e","146"
"BZN|GR","20.04.2020 06:00 - 20.04.2020 07:00 (CET)","n/e","456","n/e","1135","n/e","0","n/e","n/e","n/e","62","","n/e","127","n/e","n/e","n/e","n/e","89","n/e","n/e","84"
"BZN|GR","20.04.2020 07:00 - 20.04.2020 08:00 (CET)","n/e","463","n/e","1306","n/e","0","n/e","n/e","n/e","64","","n/e","121","n/e","n/e","n/e","n/e","380","n/e","n/e","55"
"BZN|GR","20.04.2020 08:00 - 20.04.2020 09:00 (CET)","n/e","457","n/e","1204","n/e","0","n/e","n/e","n/e","62","","n/e","123","n/e","n/e","n/e","n/e","815","n/e","n/e","71"
"BZN|GR","20.04.2020 09:00 - 20.04.2020 10:00 (CET)","n/e","454","n/e","1185","n/e","0","n/e","n/e","n/e","63","","n/e","120","n/e","n/e","n/e","n/e","1153","n/e","n/e","72"
"BZN|GR","20.04.2020 10:00 - 20.04.2020 11:00 (CET)","n/e","459","n/e","1222","n/e","0","n/e","n/e","n/e","64","","n/e","119","n/e","n/e","n/e","n/e","1437","n/e","n/e","110"
"BZN|GR","20.04.2020 11:00 - 20.04.2020 12:00 (CET)","n/e","477","n/e","1403","n/e","0","n/e","n/e","n/e","64","","n/e","118","n/e","n/e","n/e","n/e","1440","n/e","n/e","179"
"BZN|GR","20.04.2020 12:00 - 20.04.2020 13:00 (CET)","n/e","607","n/e","1641","n/e","0","n/e","n/e","n/e","75","","n/e","117","n/e","n/e","n/e","n/e","1225","n/e","n/e","226"
"BZN|GR","20.04.2020 13:00 - 20.04.2020 14:00 (CET)","n/e","643","n/e","1592","n/e","0","n/e","n/e","n/e","74","","n/e","134","n/e","n/e","n/e","n/e","1047","n/e","n/e","245"
"BZN|GR","20.04.2020 14:00 - 20.04.2020 15:00 (CET)","n/e","645","n/e","1611","n/e","0","n/e","n/e","n/e","62","","n/e","160","n/e","n/e","n/e","n/e","852","n/e","n/e","257"
"BZN|GR","20.04.2020 15:00 - 20.04.2020 16:00 (CET)","n/e","631","n/e","1478","n/e","0","n/e","n/e","n/e","62","","n/e","158","n/e","n/e","n/e","n/e","665","n/e","n/e","255"
"BZN|GR","20.04.2020 16:00 - 20.04.2020 17:00 (CET)","n/e","618","n/e","1521","n/e","0","n/e","n/e","n/e","64","","n/e","172","n/e","n/e","n/e","n/e","401","n/e","n/e","277"
"BZN|GR","20.04.2020 17:00 - 20.04.2020 18:00 (CET)","n/e","557","n/e","1504","n/e","0","n/e","n/e","n/e","64","","n/e","417","n/e","n/e","n/e","n/e","159","n/e","n/e","366"
"BZN|GR","20.04.2020 18:00 - 20.04.2020 19:00 (CET)","n/e","312","n/e","1960","n/e","0","n/e","n/e","n/e","110","","n/e","596","n/e","n/e","n/e","n/e","33","n/e","n/e","462"
"BZN|GR","20.04.2020 19:00 - 20.04.2020 20:00 (CET)","n/e","302","n/e","1999","n/e","0","n/e","n/e","n/e","147","","n/e","777","n/e","n/e","n/e","n/e","0","n/e","n/e","581"
"BZN|GR","20.04.2020 20:00 - 20.04.2020 21:00 (CET)","n/e","303","n/e","2067","n/e","0","n/e","n/e","n/e","147","","n/e","825","n/e","n/e","n/e","n/e","0","n/e","n/e","536"
"BZN|GR","20.04.2020 21:00 - 20.04.2020 22:00 (CET)","n/e","303","n/e","1828","n/e","0","n/e","n/e","n/e","49","","n/e","549","n/e","n/e","n/e","n/e","0","n/e","n/e","575"
"BZN|GR","20.04.2020 22:00 - 20.04.2020 23:00 (CET)","n/e","301","n/e","1680","n/e","0","n/e","n/e","n/e","0","","n/e","191","n/e","n/e","n/e","n/e","0","n/e","n/e","615"
"BZN|GR","20.04.2020 23:00 - 21.04.2020 00:00 (CET)","n/e","302","n/e","1562","n/e","0","n/e","n/e","n/e","0","","n/e","74","n/e","n/e","n/e","n/e","0","n/e","n/e","594"
"BZN|GR","21.04.2020 00:00 - 21.04.2020 01:00 (CET)","n/e","302","n/e","1066","n/e","0","n/e","n/e","n/e","0","","n/e","54","n/e","n/e","n/e","n/e","0","n/e","n/e","749"
"BZN|GR","21.04.2020 01:00 - 21.04.2020 02:00 (CET)","n/e","306","n/e","1021","n/e","0","n/e","n/e","n/e","0","","n/e","54","n/e","n/e","n/e","n/e","0","n/e","n/e","774"
"BZN|GR","21.04.2020 02:00 - 21.04.2020 03:00 (CET)","n/e","310","n/e","1069","n/e","0","n/e","n/e","n/e","0","","n/e","56","n/e","n/e","n/e","n/e","0","n/e","n/e","783"
"BZN|GR","21.04.2020 03:00 - 21.04.2020 04:00 (CET)","n/e","309","n/e","969","n/e","0","n/e","n/e","n/e","0","","n/e","55","n/e","n/e","n/e","n/e","0","n/e","n/e","1000"
"BZN|GR","21.04.2020 04:00 - 21.04.2020 05:00 (CET)","n/e","307","n/e","969","n/e","0","n/e","n/e","n/e","0","","n/e","55","n/e","n/e","n/e","n/e","0","n/e","n/e","1127"
"BZN|GR","21.04.2020 05:00 - 21.04.2020 06:00 (CET)","n/e","306","n/e","1034","n/e","0","n/e","n/e","n/e","0","","n/e","55","n/e","n/e","n/e","n/e","0","n/e","n/e","1159"
"BZN|GR","21.04.2020 06:00 - 21.04.2020 07:00 (CET)","n/e","307","n/e","1110","n/e","0","n/e","n/e","n/e","0","","n/e","71","n/e","n/e","n/e","n/e","32","n/e","n/e","1239"
"BZN|GR","21.04.2020 07:00 - 21.04.2020 08:00 (CET)","n/e","307","n/e","1170","n/e","0","n/e","n/e","n/e","25","","n/e","161","n/e","n/e","n/e","n/e","194","n/e","n/e","1296"
"BZN|GR","21.04.2020 08:00 - 21.04.2020 09:00 (CET)","n/e","313","n/e","1478","n/e","0","n/e","n/e","n/e","38","","n/e","134","n/e","n/e","n/e","n/e","407","n/e","n/e","1334"
"BZN|GR","21.04.2020 09:00 - 21.04.2020 10:00 (CET)","n/e","315","n/e","1497","n/e","0","n/e","n/e","n/e","35","","n/e","116","n/e","n/e","n/e","n/e","617","n/e","n/e","1354"
"BZN|GR","21.04.2020 10:00 - 21.04.2020 11:00 (CET)","n/e","349","n/e","1814","n/e","0","n/e","n/e","n/e","34","","n/e","113","n/e","n/e","n/e","n/e","784","n/e","n/e","1349"
"BZN|GR","21.04.2020 11:00 - 21.04.2020 12:00 (CET)","n/e","416","n/e","1909","n/e","0","n/e","n/e","n/e","11","","n/e","86","n/e","n/e","n/e","n/e","809","n/e","n/e","1346"
"BZN|GR","21.04.2020 12:00 - 21.04.2020 13:00 (CET)","n/e","435","n/e","1901","n/e","0","n/e","n/e","n/e","0","","n/e","109","n/e","n/e","n/e","n/e","771","n/e","n/e","1377"
"BZN|GR","21.04.2020 13:00 - 21.04.2020 14:00 (CET)","n/e","429","n/e","1708","n/e","0","n/e","n/e","n/e","0","","n/e","94","n/e","n/e","n/e","n/e","761","n/e","n/e","1377"
"BZN|GR","21.04.2020 14:00 - 21.04.2020 15:00 (CET)","n/e","352","n/e","1560","n/e","0","n/e","n/e","n/e","6","","n/e","91","n/e","n/e","n/e","n/e","648","n/e","n/e","1464"
"BZN|GR","21.04.2020 15:00 - 21.04.2020 16:00 (CET)","n/e","341","n/e","1387","n/e","0","n/e","n/e","n/e","31","","n/e","71","n/e","n/e","n/e","n/e","486","n/e","n/e","1544"
"BZN|GR","21.04.2020 16:00 - 21.04.2020 17:00 (CET)","n/e","327","n/e","1387","n/e","0","n/e","n/e","n/e","30","","n/e","94","n/e","n/e","n/e","n/e","292","n/e","n/e","1591"
"BZN|GR","21.04.2020 17:00 - 21.04.2020 18:00 (CET)","n/e","320","n/e","1473","n/e","0","n/e","n/e","n/e","147","","n/e","135","n/e","n/e","n/e","n/e","146","n/e","n/e","1581"
"BZN|GR","21.04.2020 18:00 - 21.04.2020 19:00 (CET)","n/e","318","n/e","1977","n/e","0","n/e","n/e","n/e","193","","n/e","244","n/e","n/e","n/e","n/e","30","n/e","n/e","1574"
"BZN|GR","21.04.2020 19:00 - 21.04.2020 20:00 (CET)","n/e","317","n/e","2349","n/e","0","n/e","n/e","n/e","245","","n/e","406","n/e","n/e","n/e","n/e","0","n/e","n/e","1579"
"BZN|GR","21.04.2020 20:00 - 21.04.2020 21:00 (CET)","n/e","315","n/e","2113","n/e","0","n/e","n/e","n/e","310","","n/e","585","n/e","n/e","n/e","n/e","0","n/e","n/e","1616"
"BZN|GR","21.04.2020 21:00 - 21.04.2020 22:00 (CET)","n/e","315","n/e","1778","n/e","0","n/e","n/e","n/e","374","","n/e","417","n/e","n/e","n/e","n/e","0","n/e","n/e","1611"
"BZN|GR","21.04.2020 22:00 - 21.04.2020 23:00 (CET)","n/e","316","n/e","1487","n/e","0","n/e","n/e","n/e","46","","n/e","75","n/e","n/e","n/e","n/e","0","n/e","n/e","1599"
"BZN|GR","21.04.2020 23:00 - 22.04.2020 00:00 (CET)","n/e","316","n/e","1302","n/e","0","n/e","n/e","n/e","0","","n/e","46","n/e","n/e","n/e","n/e","0","n/e","n/e","1605"
"BZN|GR","22.04.2020 00:00 - 22.04.2020 01:00 (CET)","n/e","312","n/e","1158","n/e","0","n/e","n/e","n/e","0","","n/e","67","n/e","n/e","n/e","n/e","0","n/e","n/e","1642"
"BZN|GR","22.04.2020 01:00 - 22.04.2020 02:00 (CET)","n/e","314","n/e","1239","n/e","0","n/e","n/e","n/e","0","","n/e","74","n/e","n/e","n/e","n/e","0","n/e","n/e","1657"
"BZN|GR","22.04.2020 02:00 - 22.04.2020 03:00 (CET)","n/e","315","n/e","1147","n/e","0","n/e","n/e","n/e","0","","n/e","72","n/e","n/e","n/e","n/e","0","n/e","n/e","1636"
"BZN|GR","22.04.2020 03:00 - 22.04.2020 04:00 (CET)","n/e","315","n/e","1176","n/e","0","n/e","n/e","n/e","0","","n/e","74","n/e","n/e","n/e","n/e","0","n/e","n/e","1579"
"BZN|GR","22.04.2020 04:00 - 22.04.2020 05:00 (CET)","n/e","316","n/e","1318","n/e","0","n/e","n/e","n/e","0","","n/e","74","n/e","n/e","n/e","n/e","0","n/e","n/e","1583"
"BZN|GR","22.04.2020 05:00 - 22.04.2020 06:00 (CET)","n/e","300","n/e","1467","n/e","0","n/e","n/e","n/e","0","","n/e","73","n/e","n/e","n/e","n/e","0","n/e","n/e","1594"
"BZN|GR","22.04.2020 06:00 - 22.04.2020 07:00 (CET)","n/e","310","n/e","1275","n/e","0","n/e","n/e","n/e","0","","n/e","62","n/e","n/e","n/e","n/e","30","n/e","n/e","1689"
"BZN|GR","22.04.2020 07:00 - 22.04.2020 08:00 (CET)","n/e","312","n/e","1579","n/e","0","n/e","n/e","n/e","0","","n/e","167","n/e","n/e","n/e","n/e","160","n/e","n/e","1715"
"BZN|GR","22.04.2020 08:00 - 22.04.2020 09:00 (CET)","n/e","316","n/e","1814","n/e","0","n/e","n/e","n/e","0","","n/e","216","n/e","n/e","n/e","n/e","353","n/e","n/e","1739"
"BZN|GR","22.04.2020 09:00 - 22.04.2020 10:00 (CET)","n/e","357","n/e","1995","n/e","0","n/e","n/e","n/e","120","","n/e","252","n/e","n/e","n/e","n/e","496","n/e","n/e","1718"
"BZN|GR","22.04.2020 10:00 - 22.04.2020 11:00 (CET)","n/e","408","n/e","1993","n/e","0","n/e","n/e","n/e","151","","n/e","261","n/e","n/e","n/e","n/e","627","n/e","n/e","1701"
"BZN|GR","22.04.2020 11:00 - 22.04.2020 12:00 (CET)","n/e","410","n/e","2094","n/e","0","n/e","n/e","n/e","162","","n/e","266","n/e","n/e","n/e","n/e","768","n/e","n/e","1667"
"BZN|GR","22.04.2020 12:00 - 22.04.2020 13:00 (CET)","n/e","393","n/e","2023","n/e","0","n/e","n/e","n/e","115","","n/e","231","n/e","n/e","n/e","n/e","867","n/e","n/e","1632"
"BZN|GR","22.04.2020 13:00 - 22.04.2020 14:00 (CET)","n/e","413","n/e","1878","n/e","0","n/e","n/e","n/e","64","","n/e","146","n/e","n/e","n/e","n/e","854","n/e","n/e","1610"
"BZN|GR","22.04.2020 14:00 - 22.04.2020 15:00 (CET)","n/e","449","n/e","1878","n/e","0","n/e","n/e","n/e","27","","n/e","125","n/e","n/e","n/e","n/e","734","n/e","n/e","1577"
"BZN|GR","22.04.2020 15:00 - 22.04.2020 16:00 (CET)","n/e","452","n/e","1820","n/e","0","n/e","n/e","n/e","0","","n/e","113","n/e","n/e","n/e","n/e","562","n/e","n/e","1605"
"BZN|GR","22.04.2020 16:00 - 22.04.2020 17:00 (CET)","n/e","448","n/e","1842","n/e","0","n/e","n/e","n/e","12","","n/e","96","n/e","n/e","n/e","n/e","376","n/e","n/e","1628"
"BZN|GR","22.04.2020 17:00 - 22.04.2020 18:00 (CET)","n/e","449","n/e","1836","n/e","0","n/e","n/e","n/e","33","","n/e","96","n/e","n/e","n/e","n/e","190","n/e","n/e","1593"
"BZN|GR","22.04.2020 18:00 - 22.04.2020 19:00 (CET)","n/e","450","n/e","2365","n/e","0","n/e","n/e","n/e","94","","n/e","195","n/e","n/e","n/e","n/e","40","n/e","n/e","1521"
"BZN|GR","22.04.2020 19:00 - 22.04.2020 20:00 (CET)","n/e","454","n/e","2683","n/e","0","n/e","n/e","n/e","426","","n/e","554","n/e","n/e","n/e","n/e","0","n/e","n/e","1444"
"BZN|GR","22.04.2020 20:00 - 22.04.2020 21:00 (CET)","n/e","453","n/e","2721","n/e","0","n/e","n/e","n/e","463","","n/e","595","n/e","n/e","n/e","n/e","0","n/e","n/e","1449"
"BZN|GR","22.04.2020 21:00 - 22.04.2020 22:00 (CET)","n/e","453","n/e","2416","n/e","0","n/e","n/e","n/e","210","","n/e","267","n/e","n/e","n/e","n/e","0","n/e","n/e","1426"
